,0,1,2
0,1.0,0.10178762194046631,0.10857026614224483
1,2.0,0.08980427960686091,0.09357929762487625
2,3.0,0.09716101949340612,0.09792468584063793
3,4.0,0.11126727653993383,0.10901883756989598
4,5.0,0.10893093688691863,0.10367261153741719
5,6.0,0.08179051948347123,0.07352749708678086
6,7.0,0.10228176183347401,0.09102219699509348
7,8.0,0.09239332142654638,0.07814832597758738
8,9.0,0.09390804607651576,0.07669167810766732
9,10.0,0.09998586614949175,0.07981511613738179
10,11.0,0.09816534151041639,0.07506011555006274
11,12.0,0.11201720973285295,0.08600030989275073
12,13.0,0.10573822524085205,0.07683532706008504
13,14.0,0.09990113114162247,0.06814075829120592
14,15.0,0.10358215672174621,0.06899565285520717
15,16.0,0.10284156839679798,0.06546306621777355
16,17.0,0.11470871733436139,0.07457510491174102
17,18.0,0.09788098654642816,0.05503187091028315
18,19.0,0.1031292674011166,0.057606935455343476
19,20.0,0.09142496765637827,0.04327434444662973
20,21.0,0.07430470725685132,0.023573311634940218
21,22.0,0.10614094703302548,0.052878844761555036
22,23.0,0.10792098085689064,0.05218073520039121
23,24.0,0.09142885241689332,0.033265472268226494
24,25.0,0.12102437910177488,0.060495264694997386
25,26.0,0.08316246964395993,0.02032735590722274
26,27.0,0.09744658094046753,0.03236747854485359
27,28.0,0.0943043102155011,0.027045444377979604
28,29.0,0.1105961795603551,0.04122392666124637
29,30.0,0.10896019542029589,0.03754301749779783
30,31.0,0.09472127252190929,0.021329649708330997
31,32.0,0.09576666468848896,0.020473025654869456
32,33.0,0.08182964511520255,0.004708295592956751
33,34.0,0.06953248365449255,-0.009340466895374449
34,35.0,0.08440610435239311,0.003859390854650966
35,36.0,0.08790676093821952,0.005765774374301907
36,37.0,0.0970190130716105,0.013364816678254527
37,38.0,0.09502913520034753,0.00994428556969988
38,39.0,0.07733938274061453,-0.009092151653157693
39,40.0,0.07631679052960069,-0.011376131137855095
40,41.0,0.06690315668375454,-0.02196460993099373
41,42.0,0.061161001971544414,-0.0287939078339831
42,43.0,0.056196602058472545,-0.03475667630224402
43,44.0,0.0905928824501188,-0.0012690045609671623
44,45.0,0.06374427877374686,-0.028935560295848595
45,46.0,0.062147792109681056,-0.03125853520663477
46,47.0,0.05162266042774139,-0.04241797436731614
47,48.0,0.06948428757795908,-0.02509784794296089
48,49.0,0.043068275823696656,-0.05196201927436618
49,50.0,0.054519291364957694,-0.04086537988213282
50,51.0,0.04507556497487722,-0.050569349266651
51,52.0,0.0552294706706828,-0.04058129658227717
52,53.0,0.04353192286260127,-0.052350143741885895
53,54.0,0.034065179161067764,-0.06179356277119015
54,55.0,0.04277593584955143,-0.05296488040535626
55,56.0,0.04448484116003718,-0.051043564790805525
56,57.0,0.03797078495128547,-0.05725093569210299
57,58.0,0.03739760584177163,-0.057423457152145196
58,59.0,0.025063018175038008,-0.06926381022811788
59,60.0,0.02478118553316785,-0.06895831908780917
60,61.0,0.01865831494085332,-0.07440135632419148
61,62.0,0.01873666015183185,-0.07355133909697242
62,63.0,0.011127962118341033,-0.08029728800102928
63,64.0,-0.0010951746401788726,-0.09156744994615164
64,65.0,0.01483418373005676,-0.07459583154964164
65,66.0,0.005921495303243994,-0.08237800332211556
66,67.0,-0.009493105340244378,-0.09657494636664954
67,68.0,0.008299554608095392,-0.07747868955578037
68,69.0,-0.0085420212238158,-0.0929320157543053
69,70.0,-0.0020908772506476585,-0.08500933941167686
70,71.0,0.001541856866294441,-0.0798232424139888
71,72.0,-0.007592263577748108,-0.0873237024476232
72,73.0,-0.0006123642165981741,-0.07863145737199381
73,74.0,-0.027467058803585145,-0.10369681081891624
74,75.0,-0.014192893295413282,-0.0885580746087702
75,76.0,-0.028143942425332743,-0.10057116358097636
76,77.0,-0.03306232839199115,-0.10348011246688521
77,78.0,-0.03317733412213592,-0.1015161872650406
78,79.0,-0.03351181389419198,-0.09970429390770495
79,80.0,-0.032812088782014255,-0.09679287167987713
80,81.0,-0.04796975838924375,-0.1096757028632299
81,82.0,-0.03021867115112186,-0.08958888088388438
82,83.0,-0.03744027541268561,-0.09441615917507058
83,84.0,-0.06028775590439681,-0.11481308537791256
