,0,1
0,1.0,0.10178762194046631
1,2.0,0.08980427960686091
2,3.0,0.09716101949340612
3,4.0,0.11126727653993383
4,5.0,0.10893093688691863
5,6.0,0.08179051948347123
6,7.0,0.10228176183347401
7,8.0,0.09239332142654638
8,9.0,0.09390804607651576
9,10.0,0.09998586614949175
10,11.0,0.09816534151041639
11,12.0,0.11201720973285295
12,13.0,0.10573822524085205
13,14.0,0.09990113114162247
14,15.0,0.10358215672174621
15,16.0,0.10284156839679798
16,17.0,0.11470871733436139
17,18.0,0.09788098654642816
18,19.0,0.1031292674011166
19,20.0,0.09142496765637827
20,21.0,0.07430470725685132
21,22.0,0.10614094703302548
22,23.0,0.10792098085689064
23,24.0,0.09142885241689332
24,25.0,0.12102437910177488
25,26.0,0.08316246964395993
26,27.0,0.09744658094046753
27,28.0,0.0943043102155011
28,29.0,0.1105961795603551
29,30.0,0.10896019542029589
30,31.0,0.09472127252190929
31,32.0,0.09576666468848896
32,33.0,0.08182964511520255
33,34.0,0.06953248365449255
34,35.0,0.08440610435239311
35,36.0,0.08790676093821952
36,37.0,0.0970190130716105
37,38.0,0.09502913520034753
38,39.0,0.07733938274061453
39,40.0,0.07631679052960069
40,41.0,0.06690315668375454
41,42.0,0.061161001971544414
42,43.0,0.056196602058472545
43,44.0,0.0905928824501188
44,45.0,0.06374427877374686
45,46.0,0.062147792109681056
46,47.0,0.05162266042774139
47,48.0,0.06948428757795908
48,49.0,0.043068275823696656
49,50.0,0.054519291364957694
50,51.0,0.04507556497487722
51,52.0,0.0552294706706828
52,53.0,0.04353192286260127
53,54.0,0.034065179161067764
54,55.0,0.04277593584955143
55,56.0,0.04448484116003718
56,57.0,0.03797078495128547
57,58.0,0.03739760584177163
58,59.0,0.025063018175038008
59,60.0,0.02478118553316785
60,61.0,0.01865831494085332
61,62.0,0.01873666015183185
62,63.0,0.011127962118341033
63,64.0,-0.0010951746401788726
64,65.0,0.01483418373005676
65,66.0,0.005921495303243994
66,67.0,-0.009493105340244378
67,68.0,0.008299554608095392
68,69.0,-0.0085420212238158
69,70.0,-0.0020908772506476585
70,71.0,0.001541856866294441
71,72.0,-0.007592263577748108
72,73.0,-0.0006123642165981741
73,74.0,-0.027467058803585145
74,75.0,-0.014192893295413282
75,76.0,-0.028143942425332743
76,77.0,-0.03306232839199115
77,78.0,-0.03317733412213592
78,79.0,-0.03351181389419198
79,80.0,-0.032812088782014255
80,81.0,-0.04796975838924375
81,82.0,-0.03021867115112186
82,83.0,-0.03744027541268561
83,84.0,-0.06028775590439681
84,85.0,-0.03282688046930829
85,86.0,-0.03148751059244822
86,87.0,-0.04134582207799307
87,88.0,-0.05756764511868974
88,89.0,-0.06905566527204574
89,90.0,-0.05032578151521005
90,91.0,-0.06736415634589421
91,92.0,-0.05350752284434411
92,93.0,-0.06598394091743102
93,94.0,-0.06056784387746581
94,95.0,-0.06896870241702005
95,96.0,-0.06759318616461872
96,97.0,-0.07660678975886999
97,98.0,-0.060830251871390004
98,99.0,-0.07931934622764325
99,100.0,-0.0783885527769454
100,101.0,-0.0653155915102271
101,102.0,-0.09928029813461313
102,103.0,-0.10007848963720604
103,104.0,-0.07916437746633913
104,105.0,-0.10198659103656055
105,106.0,-0.07212708642574239
106,107.0,-0.0969170674658156
107,108.0,-0.10138144162393094
108,109.0,-0.07571081432964749
109,110.0,-0.08107473321576378
110,111.0,-0.07804931619454192
111,112.0,-0.08841402808046933
112,113.0,-0.10674010483992914
113,114.0,-0.07958373144570385
114,115.0,-0.10182355810380575
115,116.0,-0.09148026116509135
116,117.0,-0.09029540692504785
117,118.0,-0.1014826701149945
118,119.0,-0.09385779668114677
119,120.0,-0.09074385833373025
120,121.0,-0.09607035010363582
121,122.0,-0.11059876898446382
122,123.0,-0.09629423712623503
123,124.0,-0.08558664365408743
124,125.0,-0.10527251145921246
125,126.0,-0.09920247179322429
126,127.0,-0.10134053128466944
127,128.0,-0.07768351143096601
128,129.0,-0.08854543984664616
129,130.0,-0.09019198935888194
130,131.0,-0.10087095900939329
131,132.0,-0.08659254757954908
132,133.0,-0.09745082919807743
133,134.0,-0.0890221427539883
134,135.0,-0.09424368662944345
135,136.0,-0.07957893829771473
136,137.0,-0.07895019809818384
137,138.0,-0.08508832426828333
138,139.0,-0.07725258378807759
139,140.0,-0.09027043312265912
140,141.0,-0.09230126226148154
141,142.0,-0.0709672643306888
142,143.0,-0.07159256901099738
143,144.0,-0.06473481412887988
144,145.0,-0.04500935284262397
145,146.0,-0.057083740255888776
146,147.0,-0.07327883628268225
147,148.0,-0.05053922113868149
148,149.0,-0.07236632840439136
149,150.0,-0.06126254021524448
150,151.0,-0.05471264664006031
151,152.0,-0.03422701847559652
152,153.0,-0.05608752245877445
153,154.0,-0.054135886388882046
154,155.0,-0.04404228337719232
155,156.0,-0.046836305318354095
156,157.0,-0.026039253506388763
157,158.0,-0.04517220194800803
158,159.0,-0.04288092563595863
159,160.0,-0.03278679764048359
160,161.0,-0.030363243925535893
161,162.0,-0.0030368712290673346
162,163.0,-0.009765216869527938
163,164.0,-0.01529213896928596
